wage,educ,exper,age,sex,race,married,union,sector,overtime,economy
19.31,16.0,12.0,31.0,female,asian,yes,no,other,yes,Services
12.69,12.0,13.0,31.0,female,white,yes,no,services,yes,Healthcare
23.3,15.0,22.0,47.0,male,white,yes,no,other,no,Manufacturing
10.0,14.0,22.0,36.0,female,white,yes,no,services,no,Services
16.39,18.0,15.0,47.0,female,hispanic,no,no,other,no,Government
16.58,10.0,16.0,35.0,male,white,no,no,other,no,Government
21.01,19.0,13.0,30.0,female,white,yes,no,other,no,Government
21.08,13.0,16.0,36.0,female,black,no,no,other,no,Government
20.51,17.0,22.0,46.0,female,other,no,yes,manufacturing,no,Manufacturing
18.33,16.0,11.0,35.0,female,asian,no,no,services,no,Services
16.52,15.0,22.0,50.0,female,white,yes,yes,manufacturing,no,Manufacturing
18.41,12.0,10.0,30.0,female,white,yes,yes,services,yes,Services
14.77,12.0,5.0,20.0,male,white,no,no,services,yes,Services
14.7,11.0,14.0,34.0,male,hispanic,yes,no,other,yes,Manufacturing
24.32,17.0,6.0,31.0,male,black,no,no,other,no,Services
17.29,12.0,1.0,20.0,female,black,no,no,services,no,Education
10.0,13.0,17.0,42.0,female,white,yes,no,other,no,Government
27.43,19.0,18.0,39.0,female,white,no,no,manufacturing,no,Manufacturing
28.82,16.0,0.0,19.0,female,white,yes,no,other,yes,Manufacturing
22.02,13.0,7.0,33.0,female,hispanic,no,no,services,no,Healthcare
18.36,13.0,11.0,35.0,female,asian,no,yes,manufacturing,no,Manufacturing
29.0,15.0,19.0,43.0,male,white,yes,no,manufacturing,no,Manufacturing
18.86,16.0,15.0,43.0,male,asian,yes,no,services,no,Services
32.84,19.0,24.0,51.0,male,black,no,no,services,no,Services
15.79,11.0,15.0,32.0,male,white,yes,no,services,no,Services
23.06,16.0,21.0,38.0,male,asian,no,no,manufacturing,no,Manufacturing
14.46,15.0,17.0,44.0,female,hispanic,yes,yes,services,no,Education
14.83,15.0,5.0,27.0,male,white,yes,no,services,no,Services
10.0,11.0,10.0,26.0,male,hispanic,yes,no,services,no,Services
17.0,15.0,5.0,29.0,male,white,yes,no,other,no,Manufacturing
15.91,13.0,14.0,37.0,female,white,no,no,manufacturing,no,Manufacturing
19.26,17.0,4.0,26.0,female,black,yes,no,services,no,Services
23.15,15.0,18.0,43.0,female,hispanic,yes,no,services,yes,Services
20.51,14.0,13.0,34.0,female,black,yes,no,other,no,Services
28.81,17.0,11.0,32.0,male,white,no,no,other,no,Manufacturing
20.49,13.0,23.0,39.0,male,white,no,no,services,yes,Services
17.45,13.0,11.0,31.0,female,black,no,yes,other,no,Manufacturing
20.21,17.0,14.0,35.0,female,white,no,yes,services,no,Healthcare
16.99,10.0,20.0,43.0,male,white,yes,no,services,no,Services
19.3,11.0,13.0,24.0,female,white,yes,no,services,no,Services
12.87,10.0,24.0,38.0,female,white,yes,no,services,no,Services
24.26,15.0,23.0,53.0,male,hispanic,no,no,manufacturing,yes,Manufacturing
23.41,18.0,10.0,34.0,female,other,no,yes,manufacturing,no,Manufacturing
11.84,17.0,0.0,22.0,female,white,no,no,services,no,Services
24.34,13.0,20.0,34.0,female,black,no,no,services,no,Healthcare
15.58,14.0,14.0,31.0,male,white,yes,no,other,yes,Healthcare
30.24,19.0,33.0,55.0,female,white,yes,no,manufacturing,no,Manufacturing
12.66,12.0,2.0,20.0,female,white,no,no,services,yes,Services
20.06,13.0,16.0,34.0,female,black,yes,no,manufacturing,no,Manufacturing
32.02,19.0,24.0,56.0,male,hispanic,no,no,other,no,Healthcare
24.88,19.0,19.0,48.0,male,white,yes,no,services,no,Healthcare
29.67,17.0,26.0,42.0,male,white,yes,no,other,no,Healthcare
21.84,19.0,29.0,59.0,female,hispanic,yes,no,services,yes,Education
24.42,16.0,13.0,40.0,male,white,yes,no,manufacturing,no,Manufacturing
17.86,11.0,19.0,30.0,male,hispanic,yes,no,other,no,Healthcare
14.82,11.0,8.0,22.0,female,white,yes,no,other,no,Services
20.4,14.0,15.0,36.0,female,white,no,no,manufacturing,yes,Manufacturing
14.42,12.0,9.0,27.0,male,white,yes,no,manufacturing,no,Manufacturing
19.5,16.0,22.0,46.0,female,white,no,yes,services,no,Services
22.18,17.0,19.0,47.0,female,white,no,no,services,no,Services
30.63,20.0,24.0,44.0,male,white,yes,no,services,no,Services
18.65,13.0,13.0,26.0,female,black,no,no,other,no,Healthcare
10.0,9.0,12.0,29.0,male,black,no,no,other,no,Manufacturing
26.44,14.0,6.0,22.0,male,asian,yes,no,manufacturing,no,Manufacturing
28.47,18.0,8.0,37.0,male,white,no,no,services,no,Services
21.6,12.0,15.0,33.0,male,black,no,yes,other,no,Government
12.77,10.0,0.0,18.0,female,white,yes,yes,manufacturing,no,Manufacturing
26.02,18.0,21.0,45.0,female,other,yes,no,services,no,Healthcare
13.17,10.0,11.0,30.0,male,hispanic,yes,no,services,no,Services
22.07,17.0,14.0,34.0,male,white,yes,no,manufacturing,no,Manufacturing
12.12,13.0,23.0,49.0,female,white,yes,no,other,yes,Government
20.44,12.0,5.0,23.0,female,black,no,no,services,no,Services
27.08,21.0,9.0,32.0,male,asian,no,yes,manufacturing,yes,Manufacturing
14.01,10.0,19.0,37.0,female,white,no,yes,manufacturing,no,Manufacturing
12.06,12.0,18.0,38.0,male,asian,yes,yes,services,no,Education
13.53,18.0,6.0,25.0,male,black,no,no,services,no,Education
19.5,17.0,10.0,27.0,male,white,no,no,manufacturing,no,Manufacturing
12.77,17.0,15.0,36.0,male,black,yes,yes,other,no,Manufacturing
12.9,10.0,8.0,18.0,male,other,yes,no,manufacturing,no,Manufacturing
24.8,15.0,7.0,38.0,male,black,yes,no,manufacturing,no,Manufacturing
19.78,15.0,23.0,41.0,female,hispanic,yes,no,services,no,Healthcare
10.0,15.0,2.0,21.0,female,hispanic,yes,no,services,no,Healthcare
23.25,16.0,6.0,26.0,female,black,no,no,services,yes,Services
26.85,19.0,23.0,45.0,male,white,yes,no,manufacturing,no,Manufacturing
22.62,16.0,13.0,39.0,female,hispanic,no,no,services,no,Services
16.3,15.0,9.0,24.0,male,white,yes,no,services,yes,Healthcare
29.68,16.0,11.0,34.0,female,hispanic,no,no,manufacturing,no,Manufacturing
20.77,16.0,17.0,44.0,female,hispanic,no,no,services,no,Services
15.5,14.0,15.0,35.0,male,white,no,yes,services,no,Healthcare
22.07,15.0,5.0,28.0,female,white,yes,yes,services,no,Healthcare
11.28,11.0,12.0,27.0,male,white,no,no,other,no,Healthcare
25.08,14.0,27.0,40.0,female,black,yes,yes,services,no,Services
10.0,11.0,6.0,20.0,female,asian,yes,no,manufacturing,no,Manufacturing
20.27,14.0,22.0,44.0,female,hispanic,no,no,services,yes,Education
22.71,14.0,12.0,28.0,male,hispanic,no,no,manufacturing,no,Manufacturing
25.07,15.0,8.0,32.0,male,hispanic,yes,no,other,no,Government
18.9,15.0,3.0,22.0,female,asian,no,no,services,no,Services
13.75,13.0,3.0,24.0,female,white,yes,no,other,no,Services
11.59,12.0,0.0,18.0,male,hispanic,no,no,manufacturing,yes,Manufacturing
18.74,15.0,22.0,40.0,male,white,no,no,services,no,Services
33.22,18.0,23.0,50.0,male,white,yes,no,other,no,Healthcare
26.43,16.0,16.0,36.0,female,white,no,no,other,no,Services
15.54,19.0,3.0,26.0,female,white,yes,no,services,no,Services
15.96,13.0,5.0,24.0,male,hispanic,no,yes,services,no,Healthcare
18.03,14.0,17.0,37.0,male,other,no,no,other,no,Government
18.81,16.0,42.0,65.0,female,hispanic,no,no,services,no,Services
20.19,16.0,19.0,38.0,female,hispanic,no,no,other,yes,Services
12.05,15.0,0.0,18.0,male,hispanic,no,no,manufacturing,no,Manufacturing
22.01,14.0,22.0,50.0,female,white,no,no,services,no,Services
13.99,11.0,25.0,44.0,female,black,no,no,other,no,Services
27.72,17.0,8.0,33.0,female,white,no,yes,manufacturing,no,Manufacturing
17.21,11.0,0.0,18.0,female,white,yes,no,services,no,Healthcare
18.12,17.0,28.0,51.0,female,white,no,no,manufacturing,yes,Manufacturing
13.61,9.0,22.0,33.0,female,black,no,no,other,no,Services
10.19,13.0,7.0,30.0,female,white,no,no,other,yes,Manufacturing
14.67,15.0,11.0,31.0,female,white,no,no,services,no,Services
23.05,17.0,17.0,35.0,female,white,yes,no,manufacturing,no,Manufacturing
17.7,14.0,17.0,34.0,female,hispanic,yes,no,manufacturing,no,Manufacturing
19.25,16.0,2.0,24.0,female,white,yes,no,other,no,Services
27.78,15.0,5.0,23.0,female,hispanic,no,no,manufacturing,yes,Manufacturing
22.27,11.0,19.0,30.0,male,asian,yes,yes,manufacturing,no,Manufacturing
16.95,16.0,16.0,39.0,female,white,yes,no,services,no,Services
24.56,12.0,9.0,18.0,female,white,no,no,manufacturing,yes,Manufacturing
26.5,15.0,8.0,24.0,female,white,yes,no,manufacturing,no,Manufacturing
14.6,14.0,0.0,18.0,female,white,no,no,services,yes,Education
10.0,13.0,13.0,30.0,male,white,yes,no,other,no,Manufacturing
10.15,13.0,11.0,31.0,male,asian,no,no,other,no,Services
10.0,12.0,18.0,37.0,female,white,yes,no,other,yes,Government
25.42,13.0,10.0,32.0,male,asian,yes,no,services,no,Services
10.0,8.0,7.0,28.0,female,white,yes,no,manufacturing,no,Manufacturing
16.74,15.0,8.0,23.0,female,white,yes,no,other,no,Government
25.96,12.0,11.0,39.0,male,white,yes,no,services,yes,Education
22.54,16.0,17.0,33.0,male,white,yes,no,other,yes,Healthcare
22.12,18.0,9.0,36.0,male,white,no,yes,services,no,Healthcare
20.7,19.0,11.0,38.0,male,white,no,no,other,no,Services
21.59,16.0,17.0,42.0,male,black,yes,no,services,yes,Services
33.45,18.0,14.0,30.0,female,white,no,no,other,no,Healthcare
17.64,9.0,16.0,26.0,male,white,yes,no,manufacturing,no,Manufacturing
14.19,15.0,22.0,47.0,female,white,no,no,other,no,Manufacturing
21.03,15.0,19.0,47.0,male,black,yes,no,services,no,Healthcare
14.84,15.0,0.0,18.0,female,hispanic,no,no,manufacturing,no,Manufacturing
10.81,14.0,4.0,28.0,male,hispanic,no,no,manufacturing,no,Manufacturing
17.94,9.0,11.0,30.0,male,hispanic,yes,no,services,no,Healthcare
14.42,16.0,21.0,52.0,female,white,no,no,services,no,Education
13.13,13.0,26.0,44.0,male,hispanic,no,no,services,no,Education
14.11,16.0,13.0,37.0,female,white,no,no,other,no,Services
20.65,17.0,10.0,32.0,female,white,yes,no,services,yes,Education
16.7,10.0,11.0,27.0,female,asian,yes,no,services,yes,Services
21.42,12.0,24.0,37.0,male,hispanic,yes,no,manufacturing,yes,Manufacturing
16.41,13.0,16.0,30.0,female,white,no,yes,manufacturing,no,Manufacturing
25.7,16.0,16.0,44.0,male,white,no,no,other,no,Manufacturing
21.85,14.0,17.0,32.0,female,hispanic,no,no,other,no,Services
22.21,15.0,29.0,49.0,female,asian,yes,no,services,no,Healthcare
26.62,14.0,19.0,34.0,male,white,yes,no,manufacturing,no,Manufacturing
23.76,15.0,2.0,22.0,female,hispanic,yes,no,manufacturing,no,Manufacturing
19.76,12.0,2.0,18.0,female,other,no,no,services,no,Services
30.56,18.0,14.0,42.0,male,white,no,no,manufacturing,no,Manufacturing
24.43,16.0,18.0,39.0,male,other,yes,no,manufacturing,yes,Manufacturing
16.13,12.0,19.0,36.0,male,white,no,no,services,no,Services
26.52,18.0,20.0,48.0,male,white,yes,yes,manufacturing,no,Manufacturing
12.7,14.0,12.0,30.0,female,hispanic,yes,no,other,no,Government
13.82,17.0,3.0,21.0,female,hispanic,no,no,other,no,Government
23.39,20.0,5.0,29.0,female,other,yes,no,services,no,Education
28.06,16.0,4.0,19.0,female,asian,no,yes,services,yes,Services
25.18,15.0,8.0,26.0,male,black,yes,no,manufacturing,yes,Manufacturing
21.4,13.0,24.0,42.0,female,asian,yes,yes,services,no,Services
20.62,16.0,18.0,46.0,male,white,no,no,services,no,Services
17.63,16.0,15.0,32.0,male,white,yes,yes,manufacturing,no,Manufacturing
15.46,14.0,19.0,38.0,male,other,yes,no,manufacturing,no,Manufacturing
24.48,17.0,26.0,53.0,female,white,no,no,services,yes,Education
10.0,9.0,12.0,29.0,male,white,no,no,other,no,Manufacturing
17.72,10.0,19.0,29.0,male,white,yes,no,services,no,Healthcare
16.16,17.0,9.0,21.0,male,black,no,no,services,no,Healthcare
28.96,16.0,0.0,22.0,male,hispanic,no,no,services,yes,Services
30.45,15.0,11.0,35.0,male,asian,no,no,manufacturing,no,Manufacturing
21.18,13.0,22.0,45.0,female,hispanic,no,yes,services,no,Services
16.45,15.0,7.0,26.0,male,hispanic,yes,no,other,no,Healthcare
13.98,14.0,28.0,47.0,male,white,yes,no,other,no,Manufacturing
22.99,13.0,13.0,28.0,male,white,no,no,services,no,Education
23.83,18.0,7.0,38.0,male,hispanic,no,no,manufacturing,yes,Manufacturing
20.94,13.0,18.0,39.0,female,hispanic,no,yes,manufacturing,no,Manufacturing
12.67,11.0,17.0,36.0,female,white,no,no,other,no,Healthcare
23.72,16.0,15.0,34.0,male,white,yes,no,services,no,Healthcare
20.25,14.0,13.0,37.0,male,hispanic,no,no,manufacturing,no,Manufacturing
16.74,13.0,23.0,38.0,female,hispanic,no,no,other,no,Healthcare
18.68,14.0,3.0,25.0,male,white,yes,no,services,no,Services
20.89,11.0,21.0,31.0,female,white,yes,no,services,no,Education
19.15,15.0,17.0,40.0,male,white,yes,no,manufacturing,no,Manufacturing
18.56,15.0,10.0,40.0,male,white,no,no,manufacturing,no,Manufacturing
17.39,14.0,17.0,30.0,female,asian,yes,no,services,no,Services
19.0,10.0,13.0,26.0,female,other,yes,yes,services,yes,Services
11.64,12.0,1.0,19.0,male,white,yes,yes,services,no,Education
11.49,10.0,16.0,34.0,female,black,no,no,other,no,Services
21.53,16.0,5.0,25.0,male,hispanic,no,no,other,no,Healthcare
28.36,18.0,7.0,35.0,female,white,no,yes,other,no,Healthcare
22.64,19.0,11.0,38.0,male,hispanic,yes,no,services,no,Services
32.66,19.0,15.0,36.0,female,other,yes,no,other,yes,Manufacturing
20.73,16.0,12.0,32.0,female,black,no,no,services,no,Education
21.98,13.0,28.0,46.0,male,white,no,no,services,no,Services
21.59,16.0,9.0,28.0,male,white,no,no,manufacturing,yes,Manufacturing
21.72,15.0,19.0,35.0,male,black,no,no,manufacturing,no,Manufacturing
19.63,16.0,24.0,54.0,male,white,no,yes,services,yes,Services
17.02,12.0,28.0,48.0,male,white,no,no,manufacturing,no,Manufacturing
10.0,13.0,5.0,29.0,male,black,yes,no,services,no,Services
28.48,13.0,27.0,49.0,female,white,yes,no,manufacturing,no,Manufacturing
25.45,12.0,14.0,28.0,female,white,yes,no,services,yes,Services
27.17,16.0,1.0,18.0,male,asian,yes,no,services,yes,Services
17.2,14.0,9.0,31.0,female,white,yes,no,services,yes,Services
10.0,15.0,0.0,28.0,female,white,no,yes,services,no,Services
14.58,13.0,18.0,35.0,male,black,yes,no,services,no,Services
20.78,15.0,16.0,40.0,male,white,no,no,services,no,Education
20.43,17.0,0.0,25.0,female,hispanic,no,no,other,no,Healthcare
16.84,13.0,6.0,23.0,male,hispanic,yes,no,other,no,Healthcare
14.68,10.0,7.0,28.0,male,hispanic,no,yes,manufacturing,no,Manufacturing
23.29,15.0,12.0,37.0,female,asian,no,no,services,no,Healthcare
16.62,16.0,0.0,28.0,male,white,yes,yes,manufacturing,no,Manufacturing
17.92,11.0,23.0,45.0,female,white,no,no,services,no,Education
19.78,14.0,11.0,26.0,male,white,no,no,manufacturing,yes,Manufacturing
21.91,16.0,30.0,59.0,female,white,yes,no,services,no,Services
22.85,15.0,11.0,31.0,female,white,no,no,services,no,Services
19.25,14.0,21.0,40.0,male,white,no,yes,services,no,Services
15.53,12.0,15.0,31.0,female,black,yes,yes,services,no,Services
26.09,15.0,5.0,18.0,female,white,no,yes,services,no,Services
24.37,16.0,8.0,28.0,female,black,yes,no,other,no,Manufacturing
16.99,15.0,4.0,24.0,female,white,no,yes,services,yes,Services
15.81,17.0,9.0,38.0,female,black,no,no,services,yes,Healthcare
18.58,14.0,28.0,45.0,female,white,yes,no,manufacturing,no,Manufacturing
22.74,17.0,9.0,33.0,female,white,yes,no,services,no,Healthcare
10.0,13.0,19.0,33.0,female,hispanic,yes,no,services,no,Services
21.15,14.0,18.0,41.0,male,white,no,no,manufacturing,no,Manufacturing
23.81,17.0,17.0,42.0,female,white,no,no,services,no,Healthcare
23.08,15.0,11.0,24.0,female,white,yes,no,services,yes,Education
16.46,10.0,10.0,22.0,male,white,yes,no,manufacturing,yes,Manufacturing
29.8,16.0,19.0,37.0,female,white,yes,no,services,no,Services
13.52,15.0,3.0,25.0,female,white,yes,no,other,no,Services
33.13,14.0,14.0,38.0,female,white,yes,no,services,yes,Services
21.42,16.0,24.0,44.0,female,white,no,no,other,no,Government
10.0,12.0,7.0,25.0,male,white,yes,no,services,no,Healthcare
12.48,13.0,8.0,31.0,female,white,yes,no,manufacturing,no,Manufacturing
10.0,13.0,12.0,29.0,female,white,no,yes,services,yes,Healthcare
19.28,15.0,15.0,36.0,male,white,no,no,services,no,Services
26.59,19.0,15.0,37.0,male,black,yes,no,services,no,Education
22.91,17.0,5.0,25.0,male,asian,yes,no,services,no,Education
10.47,12.0,23.0,42.0,female,white,yes,no,services,yes,Education
12.21,16.0,2.0,28.0,female,white,yes,no,other,no,Healthcare
23.59,13.0,3.0,25.0,male,black,yes,no,manufacturing,no,Manufacturing
18.21,12.0,4.0,29.0,male,white,no,no,services,no,Services
10.0,15.0,16.0,35.0,female,hispanic,yes,no,services,no,Services
11.14,14.0,15.0,46.0,male,asian,no,yes,other,no,Healthcare
19.73,13.0,12.0,28.0,male,asian,yes,no,services,no,Services
19.9,13.0,25.0,44.0,male,asian,no,no,manufacturing,no,Manufacturing
22.88,15.0,9.0,34.0,male,hispanic,yes,no,other,yes,Government
19.59,17.0,12.0,37.0,female,white,no,no,services,no,Education
11.09,12.0,2.0,18.0,male,hispanic,no,no,services,no,Services
20.16,18.0,15.0,33.0,female,asian,yes,no,services,no,Services
14.33,11.0,14.0,32.0,male,hispanic,yes,no,manufacturing,no,Manufacturing
27.93,18.0,3.0,25.0,female,white,yes,no,manufacturing,no,Manufacturing
19.55,13.0,19.0,41.0,female,black,no,no,other,yes,Government
13.99,14.0,20.0,44.0,female,hispanic,yes,yes,other,no,Services
18.17,13.0,16.0,29.0,female,hispanic,yes,yes,services,no,Services
13.09,13.0,5.0,25.0,male,white,no,no,other,no,Manufacturing
21.87,17.0,25.0,52.0,female,white,no,no,services,no,Education
18.13,13.0,0.0,19.0,male,asian,no,no,services,no,Services
20.96,15.0,24.0,41.0,female,asian,yes,no,services,no,Healthcare
17.91,11.0,18.0,32.0,female,white,yes,no,manufacturing,no,Manufacturing
17.61,15.0,10.0,25.0,female,white,yes,no,services,no,Education
21.23,16.0,17.0,40.0,female,black,yes,no,services,no,Healthcare
18.09,13.0,22.0,41.0,female,white,yes,no,services,no,Services
27.05,17.0,5.0,30.0,male,black,no,no,services,yes,Healthcare
18.5,15.0,11.0,35.0,male,white,yes,no,services,yes,Services
20.16,14.0,19.0,42.0,female,black,no,no,manufacturing,yes,Manufacturing
10.0,13.0,1.0,18.0,female,white,yes,no,services,yes,Healthcare
19.95,16.0,21.0,34.0,female,white,yes,no,services,yes,Services
21.64,13.0,12.0,35.0,male,asian,yes,yes,services,yes,Healthcare
25.51,14.0,25.0,41.0,female,white,no,no,services,no,Services
20.08,16.0,9.0,28.0,male,white,no,no,other,yes,Services
25.99,17.0,20.0,43.0,female,black,yes,no,services,no,Services
23.28,17.0,16.0,38.0,male,asian,no,no,other,no,Manufacturing
11.37,15.0,6.0,35.0,female,hispanic,yes,no,other,yes,Government
29.43,17.0,6.0,29.0,female,white,yes,no,manufacturing,no,Manufacturing
12.22,14.0,11.0,28.0,male,hispanic,no,no,other,no,Government
10.0,11.0,22.0,45.0,male,asian,no,no,other,no,Manufacturing
27.13,15.0,18.0,33.0,female,black,yes,no,services,no,Services
14.0,14.0,18.0,42.0,female,black,no,no,services,no,Services
20.21,13.0,23.0,38.0,male,white,no,no,services,yes,Healthcare
19.36,18.0,8.0,33.0,female,black,no,yes,services,yes,Healthcare
18.85,14.0,10.0,29.0,male,white,no,no,services,yes,Services
13.37,12.0,6.0,36.0,male,white,no,no,services,no,Education
14.26,16.0,21.0,41.0,female,white,no,no,other,no,Healthcare
22.68,16.0,19.0,43.0,male,other,yes,no,manufacturing,no,Manufacturing
34.19,20.0,9.0,30.0,male,white,no,no,manufacturing,no,Manufacturing
16.66,11.0,6.0,24.0,male,white,no,no,other,no,Government
15.24,14.0,4.0,32.0,male,white,no,no,manufacturing,no,Manufacturing
17.59,14.0,8.0,23.0,male,white,no,no,services,no,Services
27.12,18.0,6.0,30.0,female,hispanic,no,yes,services,no,Education
32.33,19.0,7.0,41.0,male,white,yes,no,services,yes,Services
19.04,17.0,9.0,29.0,male,white,yes,no,services,no,Services
14.37,12.0,24.0,47.0,male,other,yes,no,services,no,Services
18.27,14.0,11.0,37.0,male,white,yes,no,other,yes,Manufacturing
25.62,19.0,0.0,25.0,male,white,no,no,services,yes,Healthcare
18.23,13.0,25.0,44.0,female,white,no,no,manufacturing,no,Manufacturing
13.63,13.0,10.0,36.0,male,hispanic,no,no,other,no,Manufacturing
21.38,17.0,8.0,28.0,male,white,no,no,other,no,Government
29.68,15.0,22.0,39.0,male,white,no,no,services,yes,Services
18.74,15.0,6.0,24.0,female,asian,yes,no,services,no,Services
20.24,13.0,13.0,30.0,female,white,yes,no,services,no,Services
20.89,19.0,17.0,43.0,male,white,yes,no,services,no,Education
30.57,17.0,25.0,51.0,male,white,no,no,services,no,Services
12.55,12.0,19.0,33.0,male,white,no,no,services,no,Services
26.63,18.0,14.0,41.0,female,white,no,no,other,no,Services
15.32,14.0,7.0,30.0,female,hispanic,yes,no,services,no,Services
18.83,18.0,5.0,31.0,male,white,yes,no,other,no,Government
10.94,13.0,9.0,28.0,male,hispanic,yes,no,manufacturing,yes,Manufacturing
10.0,11.0,20.0,41.0,male,white,no,no,services,no,Education
10.65,11.0,5.0,20.0,female,hispanic,no,no,manufacturing,no,Manufacturing
28.66,18.0,9.0,33.0,female,asian,yes,no,services,no,Education
31.28,15.0,15.0,33.0,female,white,no,no,services,no,Services
12.98,11.0,15.0,32.0,male,white,yes,yes,manufacturing,yes,Manufacturing
19.0,14.0,9.0,24.0,male,other,no,no,services,no,Services
15.24,15.0,25.0,39.0,male,asian,yes,no,manufacturing,no,Manufacturing
19.23,16.0,28.0,55.0,female,hispanic,no,no,other,no,Government
24.57,17.0,5.0,34.0,male,other,yes,no,other,no,Manufacturing
24.84,17.0,24.0,50.0,male,white,no,no,services,no,Services
10.0,15.0,7.0,29.0,female,hispanic,no,no,manufacturing,no,Manufacturing
17.13,20.0,9.0,42.0,male,hispanic,yes,no,manufacturing,yes,Manufacturing
10.0,12.0,10.0,31.0,male,hispanic,yes,no,services,no,Services
29.27,21.0,15.0,47.0,male,hispanic,yes,no,other,no,Manufacturing
20.87,14.0,13.0,31.0,female,black,no,no,manufacturing,no,Manufacturing
36.59,21.0,27.0,55.0,female,white,yes,no,services,no,Services
21.22,17.0,7.0,33.0,male,black,yes,yes,manufacturing,no,Manufacturing
23.04,16.0,14.0,39.0,female,white,no,no,services,no,Services
17.64,12.0,14.0,40.0,female,white,yes,no,other,no,Government
21.53,15.0,31.0,51.0,male,white,yes,yes,services,no,Education
33.34,17.0,11.0,37.0,male,black,no,no,manufacturing,no,Manufacturing
10.0,9.0,3.0,20.0,male,white,yes,no,other,no,Government
11.17,11.0,18.0,37.0,female,other,no,yes,other,no,Services
24.42,18.0,6.0,39.0,male,white,yes,no,services,no,Services
30.34,16.0,37.0,57.0,male,white,no,no,manufacturing,no,Manufacturing
14.25,12.0,13.0,28.0,female,black,no,no,manufacturing,no,Manufacturing
19.24,16.0,2.0,24.0,male,hispanic,yes,no,services,no,Services
18.78,11.0,27.0,49.0,male,white,yes,no,services,no,Education
14.42,17.0,9.0,35.0,female,black,yes,no,other,no,Services
14.33,14.0,7.0,32.0,female,white,no,no,services,no,Services
26.04,17.0,24.0,43.0,female,white,yes,no,services,no,Healthcare
31.98,19.0,34.0,61.0,female,white,no,no,services,yes,Services
18.47,12.0,19.0,41.0,female,white,no,no,services,no,Healthcare
19.14,11.0,12.0,24.0,female,black,no,no,services,no,Services
27.55,16.0,16.0,37.0,male,white,no,no,services,no,Services
29.13,15.0,12.0,36.0,male,hispanic,yes,yes,services,no,Services
27.71,14.0,19.0,39.0,male,white,no,no,other,no,Government
20.28,15.0,13.0,38.0,male,black,yes,no,services,no,Education
28.13,16.0,19.0,42.0,female,white,yes,yes,manufacturing,no,Manufacturing
33.08,19.0,24.0,41.0,female,other,no,no,services,no,Services
15.94,14.0,14.0,34.0,female,white,no,no,other,no,Healthcare
20.22,15.0,20.0,39.0,male,white,no,no,services,no,Services
25.93,15.0,10.0,31.0,male,black,yes,yes,manufacturing,no,Manufacturing
19.57,15.0,9.0,31.0,female,black,no,no,services,no,Healthcare
