wage,educ,exper,age,sex,race,married,union,sector,overtime
18.85,14.0,10.0,29.0,female,white,no,no,healthcare,yes
13.37,12.0,6.0,36.0,female,white,no,no,services,no
14.26,16.0,21.0,41.0,male,white,no,no,manufacturing,no
22.68,16.0,19.0,43.0,male,other,yes,no,manufacturing,no
34.19,20.0,9.0,30.0,male,white,no,no,manufacturing,no
16.66,11.0,6.0,24.0,female,white,no,no,manufacturing,no
15.24,14.0,4.0,32.0,male,white,no,no,manufacturing,no
17.59,14.0,8.0,23.0,female,white,no,no,healthcare,no
27.12,18.0,6.0,30.0,female,hispanic,no,yes,healthcare,no
32.33,19.0,7.0,41.0,female,white,yes,no,healthcare,yes
19.04,17.0,9.0,29.0,female,white,yes,no,services,no
14.37,12.0,24.0,47.0,female,other,yes,no,services,no
18.27,14.0,11.0,37.0,female,white,yes,no,services,yes
25.62,19.0,0.0,25.0,female,white,no,no,education,yes
18.23,13.0,25.0,44.0,male,white,no,no,manufacturing,no
13.63,13.0,10.0,36.0,female,hispanic,no,no,services,no
21.38,17.0,8.0,28.0,male,white,no,no,manufacturing,no
29.68,15.0,22.0,39.0,female,white,no,no,healthcare,yes
18.74,15.0,6.0,24.0,male,asian,yes,no,education,no
20.24,13.0,13.0,30.0,male,white,yes,no,healthcare,no
20.89,19.0,17.0,43.0,female,white,yes,no,healthcare,no
30.57,17.0,25.0,51.0,female,white,no,no,services,no
12.55,12.0,19.0,33.0,female,white,no,no,education,no
26.63,18.0,14.0,41.0,female,white,no,no,government,no
15.32,14.0,7.0,30.0,male,hispanic,yes,no,healthcare,no
18.83,18.0,5.0,31.0,male,white,yes,no,healthcare,no
10.94,13.0,9.0,28.0,male,hispanic,yes,no,manufacturing,yes
10.0,11.0,20.0,41.0,male,white,no,no,education,no
10.65,11.0,5.0,20.0,male,hispanic,no,no,manufacturing,no
28.66,18.0,9.0,33.0,female,asian,yes,no,services,no
31.28,15.0,15.0,33.0,female,white,no,no,services,no
12.98,11.0,15.0,32.0,male,white,yes,yes,manufacturing,yes
19.0,14.0,9.0,24.0,female,other,no,no,healthcare,no
15.24,15.0,25.0,39.0,female,asian,yes,no,manufacturing,no
19.23,16.0,28.0,55.0,female,hispanic,no,no,healthcare,no
24.57,17.0,5.0,34.0,female,other,yes,no,manufacturing,no
24.84,17.0,24.0,50.0,male,white,no,no,services,no
10.0,15.0,7.0,29.0,female,hispanic,no,no,manufacturing,no
17.13,20.0,9.0,42.0,male,hispanic,yes,no,manufacturing,yes
10.0,12.0,10.0,31.0,female,hispanic,yes,no,services,no
29.27,21.0,15.0,47.0,male,hispanic,yes,no,manufacturing,no
20.87,14.0,13.0,31.0,male,black,no,no,manufacturing,no
36.59,21.0,27.0,55.0,male,white,yes,no,education,no
21.22,17.0,7.0,33.0,male,black,yes,yes,manufacturing,no
23.04,16.0,14.0,39.0,male,white,no,no,services,no
17.64,12.0,14.0,40.0,female,white,yes,no,services,no
21.53,15.0,31.0,51.0,female,white,yes,yes,services,no
33.34,17.0,11.0,37.0,male,black,no,no,manufacturing,no
10.0,9.0,3.0,20.0,female,white,yes,no,healthcare,no
11.17,11.0,18.0,37.0,male,other,no,yes,services,no
24.42,18.0,6.0,39.0,female,white,yes,no,education,no
30.34,16.0,37.0,57.0,male,white,no,no,manufacturing,no
14.25,12.0,13.0,28.0,male,black,no,no,manufacturing,no
19.24,16.0,2.0,24.0,female,hispanic,yes,no,services,no
18.78,11.0,27.0,49.0,female,white,yes,no,services,no
14.42,17.0,9.0,35.0,female,black,yes,no,government,no
14.33,14.0,7.0,32.0,female,white,no,no,services,no
26.04,17.0,24.0,43.0,male,white,yes,no,services,no
31.98,19.0,34.0,61.0,male,white,no,no,services,yes
18.47,12.0,19.0,41.0,female,white,no,no,services,no
19.14,11.0,12.0,24.0,female,black,no,no,healthcare,no
27.55,16.0,16.0,37.0,male,white,no,no,services,no
29.13,15.0,12.0,36.0,female,hispanic,yes,yes,healthcare,no
27.71,14.0,19.0,39.0,male,white,no,no,manufacturing,no
20.28,15.0,13.0,38.0,female,black,yes,no,services,no
28.13,16.0,19.0,42.0,male,white,yes,yes,manufacturing,no
33.08,19.0,24.0,41.0,male,other,no,no,services,no
15.94,14.0,14.0,34.0,male,white,no,no,manufacturing,no
20.22,15.0,20.0,39.0,female,white,no,no,healthcare,no
25.93,15.0,10.0,31.0,female,black,yes,yes,manufacturing,no
19.57,15.0,9.0,31.0,female,black,no,no,services,no
13.57,9.0,14.0,28.0,female,hispanic,no,no,government,no
13.75,15.0,12.0,31.0,female,black,no,no,education,no
16.62,14.0,3.0,23.0,female,asian,yes,no,services,no
18.0,11.0,17.0,34.0,female,hispanic,yes,no,services,no
13.88,12.0,11.0,23.0,female,asian,yes,no,services,no
27.66,11.0,17.0,33.0,female,white,no,no,services,no
21.6,19.0,18.0,44.0,female,black,no,yes,healthcare,no
19.81,12.0,7.0,23.0,male,black,no,no,manufacturing,no
15.46,13.0,9.0,29.0,male,white,no,no,manufacturing,yes
20.51,14.0,19.0,46.0,female,white,no,no,manufacturing,no
30.88,18.0,17.0,35.0,female,black,yes,yes,manufacturing,no
21.67,15.0,25.0,44.0,male,black,yes,no,manufacturing,no
18.92,14.0,19.0,38.0,male,asian,yes,no,manufacturing,no
22.28,15.0,14.0,33.0,female,black,yes,no,manufacturing,no
19.59,13.0,13.0,41.0,female,white,yes,no,services,no
15.46,15.0,14.0,39.0,female,asian,no,no,manufacturing,no
26.88,16.0,21.0,34.0,female,white,yes,no,manufacturing,no
25.51,17.0,28.0,51.0,male,hispanic,no,yes,manufacturing,no
11.12,11.0,9.0,31.0,male,other,yes,no,education,yes
19.99,12.0,17.0,34.0,female,white,yes,yes,manufacturing,no
23.79,18.0,8.0,37.0,male,hispanic,yes,no,manufacturing,no
13.03,10.0,19.0,34.0,female,hispanic,yes,yes,healthcare,no
35.13,21.0,12.0,40.0,male,hispanic,yes,no,manufacturing,yes
13.49,11.0,12.0,29.0,female,hispanic,no,no,healthcare,no
24.14,17.0,19.0,48.0,male,white,no,no,services,yes
35.1,15.0,22.0,43.0,female,white,no,no,services,yes
23.25,12.0,20.0,40.0,female,black,yes,no,education,no
19.86,17.0,14.0,33.0,male,hispanic,yes,no,manufacturing,no
20.63,15.0,29.0,52.0,female,white,yes,no,healthcare,yes
19.62,15.0,22.0,40.0,female,other,yes,no,services,no
19.74,16.0,22.0,46.0,female,white,yes,no,education,no
30.62,19.0,13.0,46.0,male,white,no,no,education,no
14.9,14.0,0.0,19.0,male,black,yes,no,healthcare,no
26.69,16.0,13.0,29.0,female,black,no,yes,manufacturing,no
25.03,17.0,19.0,44.0,male,hispanic,no,no,manufacturing,no
11.69,13.0,7.0,27.0,female,hispanic,yes,no,services,no
25.56,17.0,6.0,29.0,female,white,no,no,manufacturing,no
28.5,16.0,19.0,42.0,female,hispanic,yes,no,manufacturing,no
19.38,13.0,16.0,36.0,male,white,yes,no,manufacturing,yes
24.16,15.0,11.0,32.0,female,white,no,no,manufacturing,no
16.93,14.0,21.0,40.0,male,hispanic,no,no,manufacturing,no
27.29,17.0,15.0,37.0,male,white,yes,no,education,yes
19.61,13.0,9.0,30.0,male,white,yes,no,manufacturing,no
25.03,15.0,7.0,30.0,female,white,no,no,healthcare,yes
22.94,17.0,15.0,31.0,male,white,yes,no,healthcare,no
24.24,16.0,18.0,36.0,female,black,yes,no,services,no
26.38,18.0,6.0,28.0,male,white,no,no,manufacturing,no
27.79,17.0,19.0,37.0,female,white,yes,no,services,no
